source,target
10 Years (band),Disturbed (band)
10 Years (band),Linkin Park
10 Years (band),Stone Temple Pilots
10 Years (band),Shinedown
10 Years (band),Breaking Benjamin
10 Years (band),Deftones
10 Years (band),Thousand Foot Krutch
10 Years (band),Mudvayne
10 Years (band),Korn
10 Years (band),Puddle of Mudd
10cc,Toto (band)
10cc,Frank Zappa
10cc,Asia (band)
10cc,Paul McCartney
10cc,The Hollies
10cc,Jethro Tull (band)
10cc,Steely Dan
10cc,Electric Light Orchestra
10cc,George Harrison
10cc,The Police
10cc,The Clash
10cc,Simon & Garfunkel
10cc,Duran Duran
10cc,Peter Gabriel
10cc,Ramones
10cc,Roxy Music
10cc,ABBA
10cc,Herman's Hermits
10cc,Queen (band)
10cc,The Yardbirds
10cc,Ringo Starr
3 Doors Down,Staind
3 Doors Down,Alter Bridge
3 Doors Down,Kiss (band)
3 Doors Down,Rush (band)
3 Doors Down,ZZ Top
3 Doors Down,Puddle of Mudd
3 Doors Down,Bob Seger
3 Doors Down,Daughtry (band)
3 Doors Down,Lynyrd Skynyrd
3 Doors Down,Hinder
3 Doors Down,Shinedown
3 Doors Down,Nickelback
311 (band),The Offspring
311 (band),Pink Floyd
311 (band),Faith No More
311 (band),The Rolling Stones
311 (band),Incubus (band)
311 (band),Asia (band)
311 (band),Jane's Addiction
311 (band),Led Zeppelin
311 (band),Sublime with Rome
311 (band),The Clash
311 (band),The Cure
311 (band),Red Hot Chili Peppers
311 (band),"Emerson, Lake & Palmer"
311 (band),Papa Roach
311 (band),Billy Joel
311 (band),John Lennon
311 (band),Yes (band)
311 (band),Deftones
38 Special (band),Huey Lewis and the News
38 Special (band),Lynyrd Skynyrd
38 Special (band),Journey (band)
38 Special (band),Survivor (band)
38 Special (band),Bryan Adams
38 Special (band),REO Speedwagon
38 Special (band),Ted Nugent
38 Special (band),Kiss (band)
38 Special (band),Bon Jovi
38 Special (band),Billy Joel
38 Special (band),Jefferson Starship
38 Special (band),Peter Frampton
38 Special (band),Styx (band)
A Perfect Circle,Tool (band)
A Perfect Circle,Foo Fighters
A Perfect Circle,Adam Ant
A Perfect Circle,Deftones
A Perfect Circle,Nine Inch Nails
A Perfect Circle,Weezer
A Perfect Circle,Queens of the Stone Age
A Perfect Circle,Primus (band)
A Perfect Circle,Ozzy Osbourne
A Perfect Circle,Marilyn Manson (band)
A Perfect Circle,John Lennon
A Perfect Circle,Queen (band)
A Perfect Circle,Rage Against the Machine
A Perfect Circle,System of a Down
A Perfect Circle,Guns N' Roses
A Perfect Circle,Led Zeppelin
A Perfect Circle,The Cure
A Perfect Circle,The Smashing Pumpkins
ABBA,Led Zeppelin
ABBA,U2
ABBA,Genesis (band)
ABBA,Scorpions (band)
ABBA,Queen (band)
ABBA,Bee Gees
ABBA,Iron Maiden
ABBA,The Beatles
ABBA,Robert Plant
Accept (band),Damn Yankees (band)
Accept (band),Stone Sour
Accept (band),AC/DC
Accept (band),Anthrax (American band)
Accept (band),Ozzy Osbourne
Accept (band),W.A.S.P. (band)
Accept (band),Scorpions (band)
Accept (band),Slayer
Accept (band),Mötley Crüe
Accept (band),Iron Maiden
Accept (band),Motörhead
Accept (band),Soundgarden
Accept (band),Metallica
Accept (band),Guns N' Roses
Accept (band),Alice in Chains
Accept (band),Megadeth
Accept (band),Judas Priest
Accept (band),Pantera
Adam Ant,Nine Inch Nails
Adam Ant,Gene Vincent
Adam Ant,Paul McCartney
Adam Ant,Oasis (band)
Adam Ant,Stevie Nicks
